bioguide,name,chamber,party,state,district,industry_labels,policy_topics,committees,subcommittees,official_url
S001183,David Schweikert,House,Republican,AZ,1,[],[],"[""House Committee on Ways and Means"", ""Joint Economic Committee""]","[""Oversight"", ""Tax""]",https://schweikert.house.gov
D000624,Debbie Dingell,House,Democrat,MI,6,"[""Automotive components"", ""Biotechnology"", ""Broadband & cable"", ""Consumer electronics"", ""Digital media"", ""E-commerce"", ""Fiber broadband"", ""Forestry"", ""Gold"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Industrial manufacturing"", ""Iron ore"", ""Medical devices"", ""Medical diagnostics"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Networking equipment"", ""Oil exploration & production"", ""Pharmaceuticals"", ""Retail technology"", ""Satellite communications"", ""Silver"", ""Specialty minerals"", ""Telecommunications"", ""Water infrastructure"", ""Water utilities"", ""Wireless telecommunications""]","[""Broadband policy"", ""Consumer protection"", ""Energy policy"", ""FDA policy"", ""Federal energy resources"", ""Fisheries"", ""Health insurance policy"", ""Interstate commerce"", ""Manufacturing policy"", ""Mining policy"", ""Natural resources policy"", ""Public health"", ""Public health policy"", ""Public lands"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation"", ""Trade policy"", ""Water policy"", ""Wildlife""]","[""House Committee on Energy and Commerce"", ""House Committee on Natural Resources""]","[""Commerce, Manufacturing, and Trade"", ""Communications and Technology"", ""Energy and Mineral Resources"", ""Health"", ""Water, Wildlife and Fisheries""]",https://debbiedingell.house.gov
W000797,Debbie Wasserman Schultz,House,Democrat,FL,25,"[""Agriculture"", ""Biotechnology"", ""Electric utilities"", ""Electric-grid infrastructure"", ""Healthcare services"", ""Hydrogen energy"", ""Infrastructure construction"", ""Medical devices"", ""Medical diagnostics"", ""Nuclear power"", ""Nuclear technology"", ""Packaged foods"", ""Pharmaceuticals"", ""Solar energy"", ""Water infrastructure"", ""Water utilities"", ""Wind energy""]","[""Agricultural appropriations"", ""Energy appropriations"", ""FDA appropriations"", ""Federal appropriations"", ""Military construction"", ""Veterans affairs"", ""Water infrastructure funding""]","[""House Committee on Appropriations"", ""House Committee on Foreign Affairs""]","[""Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"", ""Energy and Water Development and Related Agencies"", ""Military Construction, Veterans Affairs, and Related Agencies""]",https://wassermanschultz.house.gov
R000305,Deborah K. Ross,House,Democrat,NC,2,"[""Artificial intelligence"", ""Battery storage"", ""Clean energy"", ""Cloud computing"", ""Commercial aerospace"", ""Digital advertising"", ""Electric utilities"", ""Enterprise software"", ""Environmental services"", ""Hazardous-waste services"", ""Hydrogen energy"", ""Industrial pollution control"", ""Integrated oil & gas"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Power generation"", ""Power transmission"", ""Semiconductors"", ""Social media"", ""Solar energy"", ""Space launch"", ""Space systems"", ""Specialty chemicals"", ""Waste disposal"", ""Water treatment"", ""Wind energy""]","[""AI policy"", ""Air quality"", ""Chemical regulation"", ""Energy infrastructure"", ""Energy regulation"", ""Energy research"", ""Environmental regulation"", ""Grid reliability"", ""Intellectual property"", ""Internet policy"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Ethics"", ""House Committee on Science, Space, and Technology"", ""House Committee on the Judiciary""]","[""Courts, Intellectual Property, Artificial Intelligence, and the Internet"", ""Energy"", ""Environment"", ""Immigration Integrity, Security, and Enforcement""]",https://ross.house.gov
R000617,Delia C. Ramirez,House,Democrat,IL,3,"[""Cloud security"", ""Cybersecurity"", ""Electric-grid infrastructure"", ""Identity security"", ""Telecom infrastructure""]","[""Critical infrastructure cybersecurity"", ""Homeland security""]","[""House Committee on Homeland Security"", ""House Committee on Veterans' Affairs""]","[""Cybersecurity and Infrastructure Protection"", ""Economic Opportunity"", ""Oversight and Investigations"", ""Oversight, Investigations, and Accountability""]",https://ramirez.house.gov
S001228,Derek Schmidt,House,Republican,KS,2,"[""Aerospace & defense"", ""Aircraft manufacturing"", ""Defense aerospace"", ""Defense systems"", ""Defense technology"", ""Logistics"", ""Military drones"", ""Military systems""]","[""Defense logistics"", ""Ground combat systems"", ""Military procurement"", ""Military readiness"", ""National defense"", ""Tactical aviation""]","[""House Committee on Armed Services"", ""House Committee on Small Business"", ""House Committee on the Judiciary""]","[""Immigration Integrity, Security, and Enforcement"", ""Innovation, Entrepreneurship, and Workforce Development"", ""Military Personnel"", ""Oversight"", ""Readiness"", ""Rural Development, Energy, and Supply Chains"", ""Tactical Air and Land Forces"", ""The Administrative State, Regulatory Reform, and Antitrust""]",https://schmidt.house.gov
T000491,Derek Tran,House,Democrat,CA,45,"[""Aerospace & defense"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Logistics"", ""Military systems"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""Defense logistics"", ""Military intelligence"", ""Military procurement"", ""Military readiness"", ""National defense"", ""Special operations""]","[""House Committee on Armed Services"", ""House Committee on Small Business""]","[""Contracting and Infrastructure"", ""Intelligence and Special Operations"", ""Oversight, Investigations, and Regulations"", ""Readiness""]",https://tran.house.gov
V000135,Derrick Van Orden,House,Republican,WI,3,"[""Aerospace & defense"", ""Agriculture"", ""Animal nutrition"", ""Biotechnology"", ""Broad commodities"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Farm supplies"", ""Food brands"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Livestock health"", ""Medical devices"", ""Medical diagnostics"", ""Missile systems"", ""Nuclear technology"", ""Packaged foods"", ""Pharmaceuticals"", ""Satellite communications"", ""Space systems""]","[""Agricultural policy"", ""Agricultural trade"", ""Classified intelligence"", ""Dairy policy"", ""FDA policy"", ""Food policy"", ""Health insurance policy"", ""Livestock policy"", ""Military intelligence"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""Nuclear deterrence"", ""Nutrition policy"", ""Poultry policy"", ""Public health policy"", ""Rural development"", ""Special operations""]","[""House Committee on Agriculture"", ""House Committee on Armed Services"", ""House Committee on Veterans' Affairs""]","[""Economic Opportunity"", ""Health"", ""Intelligence and Special Operations"", ""Livestock, Dairy, and Poultry"", ""Nutrition and Foreign Agriculture"", ""Strategic Forces""]",https://vanorden.house.gov
D000197,Diana DeGette,House,Democrat,CO,1,"[""Battery storage"", ""Biotechnology"", ""Electric utilities"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Medical devices"", ""Medical diagnostics"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Pharmaceuticals"", ""Power generation"", ""Power transmission"", ""Solar energy"", ""Wind energy""]","[""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""FDA policy"", ""Grid reliability"", ""Health insurance policy"", ""Interstate commerce"", ""Public health"", ""Public health policy"", ""Telecommunications policy""]","[""House Committee on Energy and Commerce""]","[""Energy"", ""Health"", ""Oversight and Investigations""]",https://degette.house.gov
H001086,Diana Harshbarger,House,Republican,TN,1,"[""Battery storage"", ""Biotechnology"", ""Electric utilities"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Medical devices"", ""Medical diagnostics"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Pharmaceuticals"", ""Power generation"", ""Power transmission"", ""Solar energy"", ""Wind energy""]","[""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""FDA policy"", ""Grid reliability"", ""Health insurance policy"", ""Interstate commerce"", ""Public health"", ""Public health policy"", ""Telecommunications policy""]","[""House Committee on Energy and Commerce""]","[""Energy"", ""Health"", ""Oversight and Investigations""]",https://harshbarger.house.gov
T000468,Dina Titus,House,Democrat,NV,1,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Transit systems"", ""Transportation infrastructure""]","[""Aviation safety"", ""FAA policy"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Transportation policy""]","[""House Committee on Foreign Affairs"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Economic Development, Public Buildings, and Emergency Management"", ""Europe"", ""Highways and Transit"", ""Railroads, Pipelines, and Hazardous Materials"", ""Western Hemisphere""]",https://titus.house.gov
B001298,Don Bacon,House,Republican,NE,2,"[""Aerospace & defense"", ""Agriculture"", ""Animal health"", ""Animal nutrition"", ""Artificial intelligence"", ""Biotechnology"", ""Broad commodities"", ""Cloud computing"", ""Cybersecurity"", ""Defense electronics"", ""Defense software"", ""Defense systems"", ""Defense technology"", ""Farm supplies"", ""Livestock health"", ""Missile systems"", ""Nuclear technology"", ""Packaged foods"", ""Space systems""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Conservation"", ""Dairy policy"", ""Defense IT"", ""Defense cybersecurity"", ""Food policy"", ""Livestock policy"", ""Military AI"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""Nuclear deterrence"", ""Poultry policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on Armed Services""]","[""Conservation, Research, and Biotechnology"", ""Cyber, Information Technologies, and Innovation"", ""Livestock, Dairy, and Poultry"", ""Strategic Forces""]",https://bacon.house.gov
D000230,Donald G. Davis,House,Democrat,NC,1,"[""Aerospace & defense"", ""Agriculture"", ""Aircraft manufacturing"", ""Animal nutrition"", ""Broad commodities"", ""Commercial banking"", ""Cryptocurrency exchange"", ""Defense aerospace"", ""Defense systems"", ""Defense technology"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Futures-based commodity exposure"", ""Livestock health"", ""Logistics"", ""Military drones"", ""Military systems"", ""Packaged foods"", ""Risk management""]","[""Agricultural policy"", ""Agricultural risk management"", ""Commodity markets"", ""Dairy policy"", ""Defense logistics"", ""Digital asset policy"", ""Farm credit"", ""Food policy"", ""Ground combat systems"", ""Livestock policy"", ""Military procurement"", ""Military readiness"", ""National defense"", ""Poultry policy"", ""Rural development"", ""Tactical aviation""]","[""House Committee on Agriculture"", ""House Committee on Armed Services""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""General Farm Commodities, Risk Management, and Credit"", ""Livestock, Dairy, and Poultry"", ""Readiness"", ""Tactical Air and Land Forces""]",https://dondavis.house.gov
N000188,Donald Norcross,House,Democrat,NJ,1,"[""Aerospace & defense"", ""Aircraft manufacturing"", ""Defense aerospace"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Military drones"", ""Military systems"", ""Missile systems"", ""Naval nuclear propulsion"", ""Nuclear technology"", ""Space systems""]","[""Ground combat systems"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""Naval procurement"", ""Nuclear deterrence"", ""Power projection"", ""Shipbuilding"", ""Tactical aviation""]","[""House Committee on Armed Services"", ""House Committee on Education and Workforce""]","[""Health, Employment, Labor, and Pensions"", ""Higher Education and Workforce Development"", ""Seapower and Projection Forces"", ""Strategic Forces"", ""Tactical Air and Land Forces""]",https://norcross.house.gov
B001292,"Donald S. Beyer, Jr.",House,Democrat,VA,8,[],"[""Customs"", ""Tariffs"", ""Trade policy""]","[""House Committee on Ways and Means"", ""Joint Economic Committee""]","[""Tax"", ""Trade""]",https://beyer.house.gov
M001163,Doris O. Matsui,House,Democrat,CA,7,"[""Battery storage"", ""Broadband & cable"", ""Digital media"", ""Electric utilities"", ""Fiber broadband"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Natural-gas exploration & production"", ""Networking equipment"", ""Nuclear power"", ""Oil & gas pipelines"", ""Power generation"", ""Power transmission"", ""Satellite communications"", ""Solar energy"", ""Telecommunications"", ""Wind energy"", ""Wireless telecommunications""]","[""Broadband policy"", ""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""Grid reliability"", ""Interstate commerce"", ""Public health"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation""]","[""House Committee on Energy and Commerce""]","[""Communications and Technology"", ""Energy""]",https://matsui.house.gov
J000301,Dusty Johnson,House,Republican,SD,0,"[""Aerospace systems"", ""Agriculture"", ""Air freight"", ""Aircraft manufacturing"", ""Animal nutrition"", ""Broad commodities"", ""Commercial aerospace"", ""Commercial banking"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Futures-based commodity exposure"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Packaged foods"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Risk management"", ""Transit systems"", ""Transportation infrastructure""]","[""Agricultural policy"", ""Agricultural risk management"", ""Aviation safety"", ""Commodity markets"", ""Digital asset policy"", ""FAA policy"", ""Farm credit"", ""Food policy"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Rural development"", ""Transportation policy""]","[""House Committee on Agriculture"", ""House Committee on Transportation and Infrastructure"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Aviation"", ""Commodity Markets, Digital Assets, and Rural Development"", ""General Farm Commodities, Risk Management, and Credit"", ""Highways and Transit"", ""Railroads, Pipelines, and Hazardous Materials""]",https://dustyjohnson.house.gov
E000296,Dwight Evans,House,Democrat,PA,3,"[""Biotechnology"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Managed care"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals""]","[""FDA policy"", ""Health insurance policy"", ""Health tax policy"", ""Medicare policy"", ""Public health policy""]","[""House Committee on Ways and Means""]","[""Health"", ""Work and Welfare""]",https://evans.house.gov
C001103,"Earl L. ""Buddy"" Carter",House,Republican,GA,1,"[""Biotechnology"", ""Broadband & cable"", ""Digital media"", ""Environmental services"", ""Fiber broadband"", ""Hazardous-waste services"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Industrial pollution control"", ""Medical devices"", ""Medical diagnostics"", ""Networking equipment"", ""Pharmaceuticals"", ""Satellite communications"", ""Specialty chemicals"", ""Telecommunications"", ""Waste disposal"", ""Water treatment"", ""Wireless telecommunications""]","[""Air quality"", ""Broadband policy"", ""Chemical regulation"", ""Consumer protection"", ""Energy policy"", ""Environmental regulation"", ""FDA policy"", ""Health insurance policy"", ""Interstate commerce"", ""Public health"", ""Public health policy"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation""]","[""House Committee on Energy and Commerce"", ""House Committee on the Budget""]","[""Communications and Technology"", ""Environment"", ""Health""]",https://buddycarter.house.gov
C001055,Ed Case,House,Democrat,HI,1,"[""Cybersecurity"", ""Defense aerospace"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Military drones"", ""Missile systems""]","[""Border security"", ""Defense appropriations"", ""Federal appropriations"", ""Homeland security appropriations"", ""Military procurement""]","[""House Committee on Appropriations""]","[""Defense"", ""Homeland Security""]",https://case.house.gov
N000147,Eleanor Holmes Norton,House,Democrat,DC,0,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Environmental services"", ""Infrastructure construction"", ""Passenger airlines"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Aviation safety"", ""Environmental infrastructure"", ""FAA policy"", ""Highway policy"", ""Infrastructure policy"", ""Public transit"", ""Transportation policy"", ""Water resources""]","[""House Committee on Oversight and Government Reform"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Economic Development, Public Buildings, and Emergency Management"", ""Government Operations"", ""Highways and Transit"", ""Water Resources and Environment""]",https://norton.house.gov
C001132,Elijah Crane,House,Republican,AZ,2,"[""Commercial aerospace"", ""Logistics"", ""Maritime transportation"", ""Passenger airlines""]","[""Maritime security"", ""Transportation security""]","[""House Committee on Homeland Security"", ""House Committee on Oversight and Government Reform""]","[""Border Security and Enforcement"", ""Cybersecurity, Information Technology, and Government Innovation"", ""Military and Foreign Affairs"", ""Transportation and Maritime Security""]",https://crane.house.gov
S001196,Elise M. Stefanik,House,Republican,NY,21,"[""Aerospace & defense"", ""Artificial intelligence"", ""Cloud computing"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Defense software"", ""Defense systems"", ""Defense technology"", ""Missile systems"", ""Nuclear technology"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""Cyber intelligence"", ""Defense IT"", ""Defense cybersecurity"", ""Military AI"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""National security"", ""Nuclear deterrence""]","[""House Committee on Armed Services"", ""House Committee on Education and Workforce"", ""House Permanent Select Committee on Intelligence""]","[""Cyber, Information Technologies, and Innovation"", ""Defense Intelligence and Overhead Architecture"", ""Higher Education and Workforce Development"", ""Military Personnel"", ""Open Source Intelligence"", ""Strategic Forces""]",https://stefanik.house.gov
C001061,Emanuel Cleaver,House,Democrat,MO,5,"[""Asset management"", ""Banking"", ""Brokerage"", ""Consumer finance"", ""Fintech"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Mortgage technology"", ""Multifamily residential REIT"", ""Property & casualty insurance"", ""Residential real estate"", ""Securities exchanges""]","[""Capital markets regulation"", ""Financial regulation"", ""Housing finance"", ""Insurance regulation""]","[""House Committee on Financial Services""]","[""Capital Markets"", ""Housing and Insurance""]",https://cleaver.house.gov
S001223,Emilia Strong Sykes,House,Democrat,OH,13,"[""Artificial intelligence"", ""Commercial aerospace"", ""Environmental services"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Semiconductors"", ""Space launch"", ""Space systems"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Environmental infrastructure"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Science policy"", ""Space policy"", ""Technology policy"", ""Transportation policy"", ""Water resources""]","[""House Committee on Science, Space, and Technology"", ""House Committee on Transportation and Infrastructure""]","[""Highways and Transit"", ""Investigations and Oversight"", ""Railroads, Pipelines, and Hazardous Materials"", ""Water Resources and Environment""]",https://sykes.house.gov
R000621,Emily Randall,House,Democrat,WA,6,"[""Forestry"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Specialty minerals""]","[""Natural resources policy"", ""Public lands""]","[""House Committee on Natural Resources"", ""House Committee on Oversight and Government Reform""]","[""Federal Lands"", ""Government Operations"", ""Health Care and Financial Services"", ""Indian and Insular Affairs""]",https://randall.house.gov
C001087,"Eric A. ""Rick"" Crawford",House,Republican,AR,1,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Commercial banking"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Environmental services"", ""Farm supplies"", ""Infrastructure construction"", ""Packaged foods"", ""Risk management"", ""Satellite communications"", ""Space systems"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Agricultural policy"", ""Agricultural risk management"", ""Classified intelligence"", ""Cyber intelligence"", ""Environmental infrastructure"", ""Farm credit"", ""Food policy"", ""Highway policy"", ""Infrastructure policy"", ""National security"", ""Public transit"", ""Rural development"", ""Transportation policy"", ""Water resources""]","[""House Committee on Agriculture"", ""House Committee on Transportation and Infrastructure"", ""House Permanent Select Committee on Intelligence""]","[""General Farm Commodities, Risk Management, and Credit"", ""Highways and Transit"", ""Water Resources and Environment""]",https://crawford.house.gov
B001316,Eric Burlison,House,Republican,MO,7,"[""Environmental services"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Environmental infrastructure"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Transportation policy"", ""Water resources""]","[""House Committee on Oversight and Government Reform"", ""House Committee on Transportation and Infrastructure""]","[""Cybersecurity, Information Technology, and Government Innovation"", ""Delivering on Government Efficiency"", ""Economic Growth, Energy Policy, and Regulatory Affairs"", ""Highways and Transit"", ""Railroads, Pipelines, and Hazardous Materials"", ""Water Resources and Environment""]",https://burlison.house.gov
S001225,Eric Sorensen,House,Democrat,IL,17,"[""Aerospace & defense"", ""Agriculture"", ""Aircraft manufacturing"", ""Animal health"", ""Animal nutrition"", ""Biotechnology"", ""Broad commodities"", ""Commercial banking"", ""Defense aerospace"", ""Defense systems"", ""Defense technology"", ""Farm supplies"", ""Logistics"", ""Military drones"", ""Military systems"", ""Packaged foods"", ""Risk management""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Agricultural risk management"", ""Conservation"", ""Defense logistics"", ""Farm credit"", ""Food policy"", ""Ground combat systems"", ""Military procurement"", ""Military readiness"", ""National defense"", ""Rural development"", ""Tactical aviation""]","[""House Committee on Agriculture"", ""House Committee on Armed Services""]","[""Conservation, Research, and Biotechnology"", ""General Farm Commodities, Risk Management, and Credit"", ""Readiness"", ""Tactical Air and Land Forces""]",https://sorensen.house.gov
H001093,Erin Houchin,House,Republican,IN,9,"[""Automotive components"", ""Biotechnology"", ""Broadband & cable"", ""Consumer electronics"", ""Digital media"", ""E-commerce"", ""Fiber broadband"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Industrial manufacturing"", ""Medical devices"", ""Medical diagnostics"", ""Networking equipment"", ""Pharmaceuticals"", ""Retail technology"", ""Satellite communications"", ""Telecommunications"", ""Wireless telecommunications""]","[""Broadband policy"", ""Consumer protection"", ""Energy policy"", ""FDA policy"", ""Health insurance policy"", ""Interstate commerce"", ""Manufacturing policy"", ""Public health"", ""Public health policy"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation"", ""Trade policy""]","[""House Committee on Energy and Commerce"", ""House Committee on Rules"", ""House Committee on the Budget""]","[""Commerce, Manufacturing, and Trade"", ""Communications and Technology"", ""Health"", ""Legislative and Budget Process""]",https://houchin.house.gov
V000138,Eugene Simon Vindman,House,Democrat,VA,7,"[""Aerospace & defense"", ""Agriculture"", ""Animal health"", ""Animal nutrition"", ""Artificial intelligence"", ""Biotechnology"", ""Broad commodities"", ""Cloud computing"", ""Cryptocurrency exchange"", ""Cybersecurity"", ""Defense aerospace"", ""Defense electronics"", ""Defense software"", ""Defense systems"", ""Defense technology"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Futures-based commodity exposure"", ""Naval nuclear propulsion"", ""Packaged foods""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Commodity markets"", ""Conservation"", ""Defense IT"", ""Defense cybersecurity"", ""Digital asset policy"", ""Food policy"", ""Military AI"", ""Military procurement"", ""National defense"", ""Naval procurement"", ""Power projection"", ""Rural development"", ""Shipbuilding""]","[""House Committee on Agriculture"", ""House Committee on Armed Services""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Conservation, Research, and Biotechnology"", ""Cyber, Information Technologies, and Innovation"", ""Seapower and Projection Forces""]",https://vindman.house.gov
B001328,Everton Blair Jr.,House,Democrat,GA,13,[],[],[],[],
L000491,Frank D. Lucas,House,Republican,OK,3,"[""Agriculture"", ""Animal health"", ""Animal nutrition"", ""Asset management"", ""Banking"", ""Biotechnology"", ""Broad commodities"", ""Brokerage"", ""Consumer finance"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Fintech"", ""Food brands"", ""Futures-based commodity exposure"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Packaged foods"", ""Securities exchanges""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Agricultural trade"", ""Capital markets regulation"", ""Commodity markets"", ""Conservation"", ""Digital asset policy"", ""Financial regulation"", ""Food policy"", ""Nutrition policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on Financial Services""]","[""Capital Markets"", ""Commodity Markets, Digital Assets, and Rural Development"", ""Conservation, Research, and Biotechnology"", ""National Security, Illicit Finance, and International Financial Institutions"", ""Nutrition and Foreign Agriculture""]",https://lucas.house.gov
M001214,Frank J. Mrvan,House,Democrat,IN,1,"[""Artificial intelligence"", ""Commercial aerospace"", ""Electric utilities"", ""Electric-grid infrastructure"", ""Hydrogen energy"", ""Nuclear power"", ""Nuclear technology"", ""Solar energy"", ""Space launch"", ""Space systems"", ""Water infrastructure"", ""Water utilities"", ""Wind energy""]","[""Commerce policy"", ""Energy appropriations"", ""Federal appropriations"", ""Science funding"", ""Space policy"", ""Technology policy"", ""Water infrastructure funding""]","[""House Committee on Appropriations""]","[""Commerce, Justice, Science, and Related Agencies"", ""Energy and Water Development and Related Agencies""]",https://mrvan.house.gov
P000034,"Frank Pallone, Jr.",House,Democrat,NJ,6,[],"[""Consumer protection"", ""Energy policy"", ""Interstate commerce"", ""Public health"", ""Telecommunications policy""]","[""House Committee on Energy and Commerce""]",[],https://pallone.house.gov
W000808,Frederica S. Wilson,House,Democrat,FL,24,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Environmental services"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Aviation safety"", ""Environmental infrastructure"", ""FAA policy"", ""Hazardous materials"", ""Infrastructure policy"", ""Pipeline safety"", ""Rail safety"", ""Transportation policy"", ""Water resources""]","[""House Committee on Education and Workforce"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Early Childhood, Elementary, and Secondary Education"", ""Higher Education and Workforce Development"", ""Railroads, Pipelines, and Hazardous Materials"", ""Water Resources and Environment""]",https://wilson.house.gov
A000380,Gabe Amo,House,Democrat,RI,1,"[""Artificial intelligence"", ""Commercial aerospace"", ""Environmental services"", ""Hazardous-waste services"", ""Industrial pollution control"", ""Semiconductors"", ""Space launch"", ""Space systems"", ""Specialty chemicals"", ""Waste disposal"", ""Water treatment""]","[""Air quality"", ""Chemical regulation"", ""Environmental regulation"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Foreign Affairs"", ""House Committee on Science, Space, and Technology"", ""House Committee on the Budget""]","[""East Asia and Pacific"", ""Environment"", ""Europe""]",https://amo.house.gov
